Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Paced walking duration (ms)
4/8/2025,31,1642.187513,1250.393486,1,1,,,,,0.392656161,1.260468687,0.28136814,2242,,,,,,1405651,,
4/7/2025,76,1707.597801,2822.109618,,,,,,,0.469209343,1.407759151,0.24882959,4792,,,,,,2534668,,
4/6/2025,36,1670.784693,1718.119982,7,7,,,,,0.4242873,1.220374744,0.25729224,2931,,,,,,1899252,,
4/5/2025,37,1624.609498,1838.328152,10,10,,,,,0.431764287,1.30730546,0.263587424,3238,,,,,,1102247,,
4/4/2025,25,1632.024857,1096.89661,2,2,,,,,0.460820852,1.284837538,0.253043927,1999,,,,,,1230240,,
4/3/2025,26,1614.400736,966.5742496,,,,,,,0.491924218,0.953382471,0.253043927,1879,,,,,,926039,,
4/2/2025,41,1622.135978,1564.2773,,,,,,,0.435952403,1.276067005,0.259203119,2762,,,,,,1059553,,
4/1/2025,29,1628.00372,1491.406779,11,11,,,,,0.366511242,1.397339315,0.253043927,2480,,,,,,1160833,,
3/31/2025,85,1821.107152,4592.638431,23,23,,,,,0.505243318,1.375184154,0.263587424,7370,,,,,,4493893,,
3/30/2025,93,1870.220994,4128.841876,27,27,,,,,0.446065242,1.307907723,0.253043927,6817,,,,1001404,,4271079,,
3/29/2025,47,1699.486179,2448.521589,13,13,,,,,0.39754053,1.32492099,0.253043927,4031,,,,,,2394655,,
3/28/2025,62,1670.438525,2426.744551,3,3,,,,,0.407832987,1.331396321,0.253043927,4204,,,,,,1893278,,
3/27/2025,31,1655.046467,1247.437377,,,,,,,0.371958748,1.154274549,0.263587424,2290,,,,,,1627605,,
3/26/2025,32,1615.994979,1103.022907,,,,,,,0.412521919,1.203791018,0.253043927,1981,,,,,,953556,,
3/25/2025,43,1666.522983,1931.447565,9,9,,,,,0.438133946,1.354932821,0.253043927,3212,,,,,,1825694,,
3/24/2025,19,1621.221344,827.1478922,,,,,,,0.407866779,0.825723686,0.263587424,1698,,,,,,1043765,,
3/23/2025,40,1560.750024,1569.639023,,,,,,,0.36467521,1.312789555,0.253043927,2778,,,,,,,,
3/22/2025,49,1560.750024,2132.698106,8,8,,,,,0.43588615,1.292025492,0.251048134,3721,,,,,,,,
3/21/2025,59,1697.728515,2880.983626,12,12,,,,,0.4685342,1.307426952,0.248363657,4684,,,,,,2364318,,
3/20/2025,27,1615.905756,1196.550552,5,5,,,,,0.38567458,1.234280855,0.263587424,2151,,,,,,952014,,
3/19/2025,47,1613.18287,2282.013685,10,10,,,,,0.390582099,1.339150595,0.263587424,3715,,,,,,905016,,
3/18/2025,55,1617.275778,1978.418688,,,,,,,0.417109476,1.320503463,0.263587424,3349,,,,,,975662,,
3/17/2025,22,1592.026124,833.3926268,,,,,,,0.560585138,0.890380582,0.253043927,1592,,,,,,539841,,
3/16/2025,32,1560.750024,2031.973997,13,13,,,,,0.368227993,1.294349817,0.253043927,3451,,,,,,,,
3/15/2025,42,1577.373346,1494.070994,,,,,,,0.401384237,1.029119273,0.249715706,2830,,,,,,286927,,
3/14/2025,16,1573.220118,814.1688354,,,,,,,0.327028169,0.677180327,0.253043927,1667,,,,,,215240,,
3/13/2025,27,1560.750024,1074.400555,,,,,,,0.347255598,0.690388193,0.263587424,1934,,,,,,,,
3/12/2025,13,1560.750024,444.7247018,,,,,,,0.331767561,0.768015678,0.31630488,894,,,,,,,,
3/11/2025,20,1579.521969,896.7854116,,,,,,,0.390597396,1.105674217,0.251011833,1652,,,,,,324014,,
3/10/2025,13,1560.750024,714.2954942,,,,,,,0.375734349,1.101877923,0.269397454,1385,,,,,,,,
3/9/2025,33,1560.750024,1531.308593,,,,,,,0.399579977,1.25062349,0.263587424,2772,,,,,,,,
3/8/2025,55,1665.67065,3243.604662,27,27,,,,,0.446827853,1.427355443,0.253043927,4989,,,,,,1810983,,
3/7/2025,20,1566.189149,751.75156,,,,,,,0.378292041,0.767142658,0.253043927,1424,,,,,,93882,,
3/6/2025,26,1582.415219,1114.149991,,,,,,,0.352338898,0.923992683,0.251017985,2106,,,,,,373952,,
3/5/2025,24,1590.91202,831.0389399,,,,,,,0.378336932,0.848958334,0.274130921,1589,,,,,,520611,,
3/4/2025,16,1565.870295,653.9486398,,,,,,,0.377983603,1.016220621,0.25101829,1694,,,,,,88379,,
3/3/2025,11,1564.533809,597.8640861,,,,,,,0.380072067,0.741688705,0.263587424,1516,,,,,,65310,,
3/2/2025,19,1560.750024,945.1190676,,,,,,,0.354142232,0.815016499,0.253043927,1861,,,,,,,,
3/1/2025,51,1577.28066,2441.890846,15,15,,,,,0.399480298,1.310081609,0.263587424,3958,,,,,,285327,,
2/28/2025,8,1560.750024,340.7663754,,,,,,,0.332873434,0.845944769,0.253043927,773,,,,,,,,
2/27/2025,27,1573.485086,1114.321078,,,,,,,0.394370191,1.30433534,0.263587424,1996,,,,,,219813,,
2/26/2025,20,1560.750024,810.3731764,,,,,,,0.384129672,0.784476628,0.264232269,1512,,,,,,,,
2/25/2025,13,1575.192077,618.6924017,,,,,,,0.337575949,0.79491745,0.269396459,1181,,,,,,249277,,
2/24/2025,16,1569.627811,684.487857,,,,,,,0.320683808,0.772464639,0.253043927,1269,,,,,,153235,,
2/23/2025,84,1636.988045,3944.792247,14,14,,,,,0.427060062,1.212362361,0.253043927,6442,,,,,,1315907,,
2/22/2025,65,1560.750024,3250.564558,10,10,,,,,0.39344582,1.223015935,0.251026563,5480,,,,,,,,
2/21/2025,31,1639.244199,1961.444578,15,15,,,,,0.449051278,1.334584929,0.251024244,3198,,,,,,1354849,,
2/20/2025,28,1647.189718,1073.012469,,,,,,,0.365569106,0.940286588,0.287837689,1937,,,,,,1491992,,
2/19/2025,11,1591.761937,501.0437101,,,,,,,0.326986102,0.890482525,0.263587424,1012,,,,,,535281,,
2/18/2025,10,1562.271417,482.2909617,,,,,,,0.353065258,0.540369095,0.254025933,992,,,,,,26260,,
2/17/2025,31,1607.213802,1765.804671,6,6,,,,,0.42129443,1.442818784,0.253043927,3070,,,,,,801988,,
2/16/2025,35,1652.248416,2123.032485,16,16,,,,,0.389412309,1.357662047,0.263587424,3596,,,,,,1579308,,
2/15/2025,55,1645.255258,2355.352432,7,7,,,,,0.41754403,1.322772924,0.253043927,3999,,,,,,1458602,,
2/14/2025,31,1569.185761,1017.142173,,,,,,,0.456283315,1.120343514,0.284674418,1797,,,,,,145605,,
2/13/2025,20,1572.048077,777.3060675,,,,,,,0.427655685,1.078428434,0.274130921,1469,,,,,,195010,,
2/12/2025,11,1584.234228,621.222841,,,,,,,0.386975166,0.871675465,0.253043927,1325,,,,,,405349,,
2/11/2025,17,1587.827751,663.1181982,,,,,,,0.393827554,0.801862078,0.253043927,1265,,,,,,467375,,
2/10/2025,23,1567.174637,917.7386912,1,1,,,,,0.387599951,1.414699309,0.254963039,1689,,,,,,110892,,
2/9/2025,33,1563.749532,1712.983953,10,10,,,,,0.425950694,1.314478054,0.284674418,2945,,,,,,51773,,
2/8/2025,42,1671.124354,2131.189421,16,16,,,,,0.449100679,1.306683824,0.263587424,3384,,,,,,1905115,,
2/7/2025,26,1626.575475,960.9746005,,,,,,,0.476002682,1.121802396,0.263587424,1705,,,,,,1136182,,
2/6/2025,15,1585.678219,544.0444432,,,,,,,0.453052624,0.79290127,0.253043927,1118,,,,,,430273,,
2/5/2025,23,1623.376874,876.3017344,,,,,,,0.466929157,0.963463388,0.284674418,1684,,,,,,1080971,,
2/4/2025,12,1570.445226,528.431109,,,,,,,0.351780754,0.920037751,0.263587424,1053,,,,,,167344,,
2/3/2025,16,1578.699566,869.7149982,,,,,,,0.35046986,1.050210513,0.253043927,1866,,,,,,309818,,
2/2/2025,60,1560.750024,3385.291935,20,20,,,,,0.434448758,1.463281963,0.248703379,5750,,,,,,,,
2/1/2025,28,1560.750024,1066.637506,,,,,,,0.389443018,0.965028463,0.253043927,2051,,,,,,,,
6/18/2020,7,1487.915579,282.5612122,,,,,,,0.418127794,2.377526045,0.271272093,624,59,59,59,,85393639,455413,,
1/1/2025,9,1011.87249,463.7029964,,,,,,,0.433367219,0.844203329,0.253043927,954,,,,,,576453,,
12/31/2024,17,1611.687579,668.8609041,,,,,,,0.44305895,1.260857521,0.274130921,1232,,,,,,95513,,
12/30/2024,15,1612.991617,824.6957378,,,,,,,0.368144264,1.083798392,0.253043927,1592,,,,,,116490,,
12/29/2024,63,1766.228919,3094.656488,15,15,15.53563595,76.87837219,15.53578281,76.8813858,0.494007942,1.606123646,0.253043927,5269,,,,,,2581503,,
12/28/2024,24,1663.684071,987.8552596,,,,,,,0.554961436,1.107984516,0.253043927,1807,,,,,,931941,,
12/27/2024,10,1625.543089,432.0400427,,,,,,,0.475187078,0.987380612,0.253043927,1000,,,,,,318396,,
12/26/2024,5,1621.273726,265.6961234,,,,,,,0.364661427,0.634246588,0.256609435,672,,,,,,249718,,
12/25/2024,23,1661.553926,930.7106695,,,,,,,0.400323439,0.960329847,0.253043927,1657,,,,,,897675,,
12/24/2024,23,1643.943258,845.2072179,,,,,,,0.502395694,1.213679876,0.284674418,1713,,,,,,614386,,
12/23/2024,17,1675.372981,680.2441038,,,,,,,0.460630388,1.020943092,0.253043927,1351,,,,,,1119972,,
